13.9,1.61,118,2.49,120,2.53,134,2.56,2010,6.19,6390,10.23,311,3.18,17.2,1.76,478,3.63,476,3.58
13,1.59,113,2.46,134,2.6,108,2.44,1800,5.9,5660,9.72,277,3.08,17,1.76,438,3.54,359,3.34
12.2,1.58,104,2.42,104,2.45,96.7,2.37,1630,5.66,3660,8.03,250,2.99,17.9,1.78,407,3.47,281,3.15
10.4,1.55,98.1,2.38,86.1,2.35,87.7,2.32,1510,5.48,3010,7.38,238,2.95,16.1,1.74,411,3.48,237,3.03
10.1,1.54,92.7,2.35,77,2.29,78.1,2.26,1410,5.33,2520,6.82,235,2.95,13.7,1.69,438,3.54,197,2.91
8.56,1.5,88.1,2.32,70.6,2.24,69.1,2.19,1340,5.21,2210,6.45,212,2.87,11.8,1.64,518,3.71,174,2.84
8.13,1.49,85.6,2.3,64,2.19,63.6,2.15,1250,5.06,1980,6.15,194,2.81,11,1.62,465,3.6,157,2.77
7.69,1.47,82,2.28,66,2.2,63.9,2.15,1180,4.93,1820,5.93,180,2.76,10.8,1.62,402,3.46,143,2.72
7.45,1.47,80.2,2.27,91.7,2.37,69.8,2.2,1110,4.81,1720,5.79,171,2.72,9.41,1.58,437,3.54,128,2.65
7.12,1.45,72.8,2.22,63.8,2.19,64.1,2.15,1050,4.7,1620,5.65,154,2.65,9.45,1.58,460,3.59,115,2.58
6.28,1.42,66.3,2.17,60.4,2.16,76.5,2.24,997,4.6,1520,5.5,139,2.59,8.82,1.56,422,3.51,106,2.53
6.05,1.41,64,2.15,72.2,2.25,67.2,2.18,945,4.5,1440,5.37,131,2.55,8.15,1.54,397,3.45,99,2.49
5.84,1.4,61,2.13,66.8,2.21,57.6,2.1,915,4.44,1380,5.28,126,2.53,7.43,1.51,371,3.39,91.8,2.45
4.87,1.36,57.2,2.1,59.4,2.16,50.7,2.04,899,4.41,1300,5.14,120,2.5,6.6,1.48,346,3.33,88.2,2.43
4.02,1.33,52.6,2.06,56.8,2.14,44.4,1.98,870,4.35,1240,5.05,116,2.47,6.28,1.47,324,3.27,86.8,2.42
3.02,1.27,48,2.02,56.8,2.13,53.9,2.06,934,4.47,1180,4.93,111,2.45,6.22,1.47,393,3.43,83.8,2.4
3.36,1.29,56.3,2.09,61.4,2.17,56.7,2.09,1020,4.64,1130,4.84,105,2.42,5.8,1.45,775,4.18,83.2,2.4
2.92,1.26,144,2.58,53.6,2.11,50.3,2.04,1060,4.71,1080,4.75,110,2.45,5.84,1.45,754,4.13,81,2.38
2.6,1.24,83.6,2.29,48.3,2.06,45,1.99,976,4.56,1030,4.66,114,2.46,6.07,1.46,553,3.77,81.5,2.39
2.01,1.19,62.1,2.14,48.9,2.06,40.6,1.95,1000,4.6,987,4.58,109,2.44,5.82,1.45,459,3.59,76.3,2.35
7.93,1.48,51.8,2.05,56.8,2.13,36.7,1.91,1290,5.11,953,4.51,94,2.36,6.38,1.48,414,3.49,72.4,2.33
9.55,1.54,46.9,2.01,49.3,2.07,37.1,1.92,1250,5.05,918,4.44,96.2,2.37,5.95,1.46,401,3.46,71,2.32
8.52,1.51,44.4,1.98,42.2,2,37.7,1.93,1060,4.71,886,4.37,92.4,2.35,5.16,1.43,487,3.64,77.6,2.36
6.73,1.45,42.7,1.96,37.6,1.95,37.7,1.93,955,4.52,859,4.31,87.1,2.31,4.84,1.41,421,3.5,78.7,2.37
5.29,1.39,41.4,1.95,33.1,1.9,34.1,1.89,887,4.38,851,4.29,90.7,2.34,4.56,1.4,384,3.42,89.8,2.44
5.59,1.4,38.5,1.92,30.4,1.86,31,1.86,833,4.28,842,4.28,103,2.41,4.48,1.39,401,3.46,77.9,2.36
7.14,1.46,35.7,1.89,26.9,1.81,31.4,1.86,873,4.35,847,4.28,155,2.62,5.27,1.43,365,3.37,74.9,2.34
5.77,1.41,33.4,1.86,24.3,1.78,33.1,1.88,945,4.5,816,4.21,229,2.93,5.05,1.42,345,3.32,72.7,2.33
4.31,1.34,32.3,1.85,24,1.77,27.1,1.81,908,4.43,772,4.11,198,2.83,4.15,1.38,345,3.32,70.9,2.31
3.85,1.32,33.4,1.86,25.3,1.79,23.3,1.76,874,4.36,739,4.04,163,2.7,2.66,1.27,630,3.89,77.8,2.36
3.63,1.31,36.2,1.89,22.5,1.75,22.3,1.74,784,4.18,706,3.99,151,2.65,1.75,1.21,594,3.85,70.5,2.31
4,1.34,31.7,1.84,21.7,1.73,22.1,1.74,726,4.07,678,3.94,134,2.58,0.92,1.17,469,3.61,67.2,2.29
3.16,1.29,31.1,1.83,25.5,1.79,19.9,1.71,677,4,656,3.9,126,2.55,0,0.8,403,3.47,68.4,2.3
2.55,1.25,30.4,1.82,27.8,1.83,19.1,1.7,632,3.92,642,3.87,117,2.51,0.56,1.32,368,3.38,68.9,2.3
